Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Composure,Crossing,Curve,Dribbling,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
Sergio Ramos,Spain,Real Madrid CF,CB ,31,2153,75.0,84.0,79.0,80.0,66.0,73.0,61.0,67.0,91.0,88.0,93.0,72.0,55.0,86.0,68.0,52.0,85.0,78.0,79.0,91.0,77.0,84.0,89.0,81.0,63.0,66.0,90,90,310000.0,52000000.0
G. Chiellini,Italy,Juventus,CB ,32,1867,68.0,92.0,59.0,82.0,58.0,60.0,58.0,31.0,84.0,88.0,89.0,59.0,49.0,92.0,50.0,28.0,82.0,59.0,78.0,90.0,78.0,68.0,92.0,91.0,50.0,45.0,89,89,225000.0,38000000.0
D. Godín,Uruguay,Atlético Madrid,CB ,31,1930,62.0,86.0,63.0,82.0,55.0,49.0,53.0,51.0,92.0,88.0,89.0,70.0,43.0,87.0,50.0,48.0,85.0,79.0,67.0,89.0,67.0,67.0,86.0,80.0,52.0,47.0,88,88,125000.0,40000000.0
Thiago Silva,Brazil,Paris Saint-Germain,CB ,32,2124,70.0,77.0,74.0,83.0,60.0,61.0,68.0,67.0,82.0,89.0,93.0,81.0,71.0,90.0,71.0,59.0,84.0,79.0,74.0,88.0,74.0,74.0,89.0,81.0,74.0,63.0,88,88,175000.0,34000000.0
M. Hummels,Germany,FC Bayern Munich,CB ,28,2038,62.0,66.0,64.0,91.0,64.0,65.0,68.0,53.0,89.0,89.0,68.0,85.0,51.0,85.0,68.0,56.0,85.0,80.0,71.0,90.0,65.0,66.0,92.0,85.0,79.0,60.0,88,88,215000.0,48000000.0
J. Boateng,Germany,FC Bayern Munich,CB ,28,1989,72.0,82.0,58.0,86.0,69.0,56.0,67.0,31.0,85.0,83.0,75.0,80.0,58.0,88.0,46.0,47.0,82.0,75.0,79.0,90.0,78.0,74.0,91.0,91.0,76.0,53.0,88,88,215000.0,48000000.0
L. Bonucci,Italy,Milan,CB ,30,1995,62.0,82.0,60.0,84.0,44.0,56.0,69.0,61.0,88.0,90.0,85.0,85.0,65.0,84.0,70.0,38.0,86.0,79.0,74.0,88.0,72.0,73.0,88.0,85.0,74.0,58.0,88,88,210000.0,44000000.0
Marcelo,Brazil,Real Madrid CF,LB ,29,2209,77.0,84.0,77.0,85.0,90.0,80.0,84.0,67.0,71.0,83.0,77.0,76.0,66.0,80.0,59.0,75.0,87.0,82.0,83.0,87.0,79.0,81.0,85.0,77.0,75.0,54.0,87,87,250000.0,38000000.0
Piqué,Spain,FC Barcelona,CB ,30,1974,55.0,72.0,58.0,86.0,57.0,58.0,59.0,43.0,83.0,88.0,74.0,80.0,51.0,86.0,69.0,58.0,84.0,81.0,62.0,86.0,73.0,66.0,87.0,83.0,62.0,57.0,87,87,240000.0,37500000.0
Javi Martínez,Spain,FC Bayern Munich,CDM CB ,28,1973,49.0,91.0,54.0,83.0,60.0,54.0,62.0,45.0,90.0,86.0,83.0,74.0,63.0,84.0,52.0,57.0,84.0,75.0,76.0,87.0,50.0,64.0,87.0,84.0,74.0,61.0,86,86,165000.0,36000000.0
