Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
32,1305,84.0,79.0,79.0,85.0,87.0,85,85,22000000.0,46000.0
30,1301,87.0,82.0,72.0,80.0,85.0,85,85,24500000.0,165000.0
28,1341,86.0,83.0,76.0,82.0,85.0,84,85,25000000.0,46000.0
26,1257,84.0,82.0,73.0,80.0,85.0,84,86,26000000.0,69000.0
29,1350,85.0,81.0,80.0,79.0,82.0,83,83,17500000.0,19000.0
36,1293,86.0,74.0,58.0,80.0,85.0,83,83,3500000.0,10000.0
26,1317,86.0,81.0,71.0,79.0,85.0,83,86,22500000.0,60000.0
31,1370,81.0,75.0,75.0,83.0,85.0,82,82,13500000.0,57000.0
31,1212,80.0,83.0,70.0,80.0,84.0,82,82,13500000.0,30000.0
27,1250,83.0,77.0,74.0,78.0,87.0,82,84,18000000.0,90000.0
26,1194,80.0,78.0,79.0,84.0,84.0,82,84,18500000.0,71000.0
30,1318,83.0,78.0,75.0,81.0,83.0,82,82,14000000.0,110000.0
32,1185,78.0,81.0,72.0,87.0,85.0,82,82,12500000.0,30000.0
29,1171,82.0,80.0,78.0,82.0,84.0,82,82,15000000.0,46000.0
30,1182,82.0,83.0,72.0,81.0,84.0,82,82,14000000.0,52000.0
30,1233,81.0,81.0,73.0,79.0,82.0,82,82,14000000.0,64000.0
32,1217,86.0,78.0,77.0,77.0,85.0,82,82,12500000.0,31000.0
23,1225,79.0,80.0,78.0,82.0,83.0,82,87,21500000.0,16000.0
27,1209,82.0,82.0,64.0,81.0,84.0,82,84,18000000.0,37000.0
27,1122,79.0,77.0,73.0,79.0,85.0,81,83,14500000.0,28000.0
30,1273,80.0,83.0,72.0,81.0,82.0,81,81,11500000.0,24000.0
35,1175,78.0,79.0,81.0,79.0,81.0,81,81,4200000.0,34000.0
31,1271,80.0,79.0,76.0,80.0,83.0,81,81,11000000.0,51000.0
29,1266,80.0,76.0,65.0,78.0,84.0,81,81,12000000.0,91000.0
24,1225,81.0,83.0,72.0,78.0,85.0,81,87,18000000.0,50000.0
28,1287,79.0,83.0,74.0,81.0,77.0,81,83,15000000.0,125000.0
30,1251,78.0,76.0,81.0,78.0,82.0,80,80,9500000.0,97000.0
30,1281,75.0,83.0,80.0,82.0,77.0,80,80,9500000.0,120000.0
37,1263,83.0,77.0,62.0,77.0,81.0,80,80,1000000.0,8000.0
