Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Jumping,Long passing,Long shots,Penalties,Positioning,Short passing,Shot power,Sprint speed,Stamina,Vision,Volleys,Strength,Reactions,Overall,Potential,Wage,Value
Cristiano Ronaldo,Portugal,Real Madrid CF,ST LW ,32,2228,89.0,63.0,89.0,63.0,93.0,95.0,85.0,81.0,91.0,94.0,76.0,88.0,95.0,77.0,92.0,85.0,95.0,83.0,94.0,91.0,92.0,85.0,88.0,80.0,96.0,94,94,565000.0,95500000.0
L. Messi,Argentina,FC Barcelona,RW ,30,2154,92.0,48.0,90.0,95.0,95.0,96.0,77.0,89.0,97.0,95.0,90.0,71.0,68.0,87.0,88.0,74.0,93.0,88.0,85.0,87.0,73.0,90.0,85.0,59.0,95.0,93,93,565000.0,105000000.0
Neymar,Brazil,Paris Saint-Germain,LW ,25,2100,94.0,56.0,96.0,82.0,95.0,92.0,75.0,81.0,96.0,89.0,84.0,62.0,61.0,75.0,77.0,81.0,90.0,81.0,80.0,90.0,78.0,80.0,83.0,53.0,88.0,92,94,280000.0,123000000.0
L. Suárez,Uruguay,FC Barcelona,ST ,30,2291,88.0,78.0,86.0,60.0,91.0,83.0,77.0,86.0,86.0,94.0,84.0,77.0,69.0,64.0,86.0,85.0,92.0,83.0,87.0,77.0,89.0,84.0,88.0,80.0,93.0,92,92,510000.0,97000000.0
R. Lewandowski,Poland,FC Bayern Munich,ST ,28,2143,79.0,80.0,78.0,80.0,89.0,87.0,62.0,77.0,85.0,91.0,84.0,85.0,84.0,65.0,83.0,81.0,91.0,83.0,88.0,83.0,79.0,78.0,87.0,84.0,91.0,91,91,355000.0,92000000.0
E. Hazard,Belgium,Chelsea,LW ,26,2096,93.0,54.0,93.0,91.0,92.0,87.0,80.0,82.0,93.0,83.0,79.0,57.0,59.0,81.0,82.0,86.0,85.0,86.0,79.0,87.0,79.0,86.0,79.0,65.0,85.0,90,91,295000.0,90500000.0
G. Higuaín,Argentina,Juventus,ST ,29,1961,78.0,50.0,75.0,69.0,85.0,86.0,68.0,74.0,84.0,91.0,62.0,86.0,79.0,59.0,82.0,70.0,92.0,75.0,88.0,80.0,72.0,70.0,88.0,85.0,88.0,90,90,275000.0,77000000.0
G. Bale,Wales,Real Madrid CF,RW ,27,2263,93.0,65.0,77.0,65.0,87.0,85.0,87.0,86.0,89.0,87.0,85.0,86.0,85.0,80.0,90.0,76.0,86.0,86.0,91.0,95.0,76.0,79.0,76.0,80.0,87.0,89,89,370000.0,69500000.0
S. Agüero,Argentina,Manchester City,ST ,29,2074,90.0,63.0,86.0,91.0,89.0,90.0,70.0,82.0,89.0,90.0,72.0,68.0,80.0,63.0,83.0,83.0,91.0,79.0,88.0,84.0,74.0,83.0,85.0,74.0,89.0,89,89,325000.0,66500000.0
A. Sánchez,Chile,Arsenal,RM LW ST LM ,28,2181,88.0,80.0,90.0,87.0,87.0,86.0,80.0,78.0,90.0,85.0,78.0,70.0,85.0,73.0,82.0,77.0,86.0,81.0,84.0,84.0,85.0,83.0,83.0,72.0,87.0,89,89,265000.0,67500000.0
A. Robben,Netherlands,FC Bayern Munich,RW RM ,33,2081,87.0,47.0,89.0,91.0,89.0,86.0,80.0,87.0,92.0,85.0,81.0,51.0,61.0,71.0,88.0,80.0,85.0,84.0,87.0,86.0,68.0,83.0,86.0,67.0,87.0,88,88,225000.0,36000000.0
Z. Ibrahimović,Sweden,Manchester United,ST ,35,2075,63.0,84.0,81.0,41.0,88.0,91.0,76.0,82.0,82.0,87.0,82.0,80.0,69.0,76.0,85.0,91.0,86.0,84.0,91.0,67.0,71.0,83.0,90.0,88.0,86.0,88,88,240000.0,27000000.0
M. Özil,Germany,Arsenal,RW CAM ,28,1927,75.0,48.0,83.0,70.0,90.0,78.0,82.0,84.0,86.0,74.0,79.0,54.0,52.0,84.0,76.0,67.0,83.0,89.0,70.0,68.0,69.0,92.0,77.0,57.0,87.0,88,88,265000.0,60000000.0
P. Dybala,Argentina,Juventus,ST CAM ,23,2063,88.0,48.0,91.0,85.0,93.0,84.0,80.0,88.0,92.0,85.0,84.0,68.0,75.0,71.0,88.0,86.0,84.0,83.0,82.0,84.0,83.0,84.0,88.0,65.0,84.0,88,93,215000.0,79000000.0
P. Aubameyang,Gabon,Borussia Dortmund,ST ,28,2078,95.0,43.0,77.0,70.0,82.0,84.0,77.0,78.0,82.0,88.0,74.0,79.0,77.0,64.0,79.0,79.0,89.0,77.0,81.0,96.0,79.0,77.0,86.0,77.0,87.0,88,88,165000.0,61000000.0
A. Griezmann,France,Atlético Madrid,LW RW ST ,26,2104,87.0,69.0,90.0,80.0,86.0,86.0,82.0,84.0,87.0,88.0,75.0,80.0,87.0,75.0,82.0,71.0,91.0,79.0,81.0,86.0,76.0,76.0,87.0,61.0,90.0,88,91,150000.0,75000000.0
E. Cavani,Uruguay,Paris Saint-Germain,ST ,30,2097,75.0,84.0,81.0,59.0,80.0,83.0,70.0,75.0,80.0,83.0,74.0,88.0,88.0,50.0,78.0,84.0,92.0,78.0,85.0,78.0,92.0,77.0,84.0,74.0,91.0,87,87,160000.0,48500000.0
K. Benzema,France,Real Madrid CF,ST ,29,1950,77.0,65.0,77.0,60.0,86.0,82.0,75.0,79.0,82.0,87.0,73.0,78.0,70.0,47.0,77.0,82.0,87.0,86.0,83.0,78.0,73.0,85.0,79.0,78.0,83.0,86,86,295000.0,44500000.0
D. Mertens,Belgium,Napoli,ST LW CF ,30,2035,93.0,59.0,94.0,92.0,88.0,81.0,77.0,81.0,89.0,85.0,77.0,35.0,60.0,74.0,81.0,78.0,85.0,81.0,80.0,87.0,75.0,82.0,70.0,42.0,85.0,86,86,135000.0,43000000.0
F. Ribéry,France,FC Bayern Munich,LW LM ,34,1965,85.0,52.0,88.0,91.0,90.0,86.0,81.0,83.0,90.0,76.0,81.0,41.0,34.0,75.0,75.0,78.0,81.0,86.0,76.0,79.0,64.0,86.0,80.0,60.0,86.0,86,86,175000.0,22500000.0
Diego Costa,Spain,Chelsea,ST ,28,1984,74.0,93.0,58.0,52.0,83.0,84.0,65.0,62.0,77.0,88.0,59.0,83.0,64.0,52.0,73.0,76.0,88.0,67.0,84.0,75.0,83.0,74.0,81.0,91.0,86.0,86,86,235000.0,46000000.0
