Name,Nationality,Club,Preferred Positions,Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
M. Neuer,Germany,FC Bayern Munich,GK ,31,1493,91.0,90.0,95.0,91.0,89.0,92,92,61000000.0,230000.0
De Gea,Spain,Manchester United,GK ,26,1458,90.0,85.0,87.0,86.0,90.0,90,92,64500000.0,215000.0
G. Buffon,Italy,Juventus,GK ,39,1335,89.0,88.0,74.0,90.0,84.0,89,89,4500000.0,110000.0
T. Courtois,Belgium,Chelsea,GK ,25,1282,85.0,91.0,69.0,86.0,88.0,89,92,59000000.0,190000.0
H. Lloris,France,Tottenham Hotspur,GK ,30,1318,88.0,86.0,68.0,82.0,90.0,88,88,38000000.0,165000.0
J. Oblak,Slovenia,Atlético Madrid,GK ,24,1290,84.0,90.0,77.0,87.0,84.0,88,93,57000000.0,82000.0
S. Handanovič,Slovenia,Inter,GK ,32,1264,87.0,86.0,69.0,87.0,87.0,87,87,29000000.0,91000.0
P. Čech,Czech Republic,Arsenal,GK ,35,1206,82.0,87.0,76.0,83.0,81.0,86,86,10500000.0,92000.0
S. Ruffier,France,AS Saint-Étienne,GK ,30,1257,82.0,84.0,77.0,85.0,87.0,85,85,24500000.0,49000.0
M. ter Stegen,Germany,FC Barcelona,GK ,25,1274,84.0,83.0,87.0,81.0,86.0,85,89,35500000.0,155000.0
B. Leno,Germany,Bayer 04 Leverkusen,GK ,25,1247,85.0,84.0,74.0,85.0,83.0,85,88,34000000.0,61000.0
D. Subašić,Croatia,AS Monaco,GK ,32,1305,84.0,79.0,79.0,85.0,87.0,85,85,22000000.0,46000.0
K. Navas,Costa Rica,Real Madrid CF,GK ,30,1301,87.0,82.0,72.0,80.0,85.0,85,85,24500000.0,165000.0
R. Fährmann,Germany,FC Schalke 04,GK ,28,1190,83.0,86.0,52.0,85.0,87.0,84,85,25000000.0,54000.0
Sergio Asenjo,Spain,Villarreal CF,GK ,28,1341,86.0,83.0,76.0,82.0,85.0,84,85,25000000.0,46000.0
R. Bürki,Switzerland,Borussia Dortmund,GK ,26,1257,84.0,82.0,73.0,80.0,85.0,84,86,26000000.0,69000.0
T. Horn,Germany,1. FC Köln,GK ,24,1260,83.0,81.0,83.0,82.0,86.0,84,90,31000000.0,39000.0
Y. Sommer,Switzerland,Borussia Mönchengladbach,GK ,28,1299,81.0,82.0,83.0,80.0,83.0,83,84,21000000.0,39000.0
Rui Patrício,Portugal,Sporting CP,GK ,29,1350,85.0,81.0,80.0,79.0,82.0,83,83,17500000.0,19000.0
K. Schmeichel,Denmark,Leicester City,GK ,30,1355,83.0,82.0,82.0,80.0,86.0,83,84,19000000.0,65000.0
Casillas,Spain,FC Porto,GK ,36,1293,86.0,74.0,58.0,80.0,85.0,83,83,3500000.0,10000.0
José Reina,Spain,Napoli,GK ,34,1291,80.0,83.0,82.0,82.0,82.0,83,83,10500000.0,59000.0
Diego López,Spain,RCD Espanyol,GK ,35,1200,77.0,84.0,76.0,83.0,80.0,83,83,6000000.0,19000.0
Ederson,Brazil,Manchester City,GK ,23,1320,81.0,76.0,82.0,78.0,87.0,83,89,26000000.0,87000.0
G. Rulli,Argentina,Real Sociedad,GK ,25,1284,85.0,79.0,75.0,82.0,86.0,83,89,25500000.0,28000.0
M. Perin,Italy,Genoa,GK ,24,1246,80.0,85.0,71.0,78.0,90.0,83,88,25000000.0,28000.0
A. Lopes,Portugal,Olympique Lyonnais,GK ,26,1317,86.0,81.0,71.0,79.0,85.0,83,86,22500000.0,60000.0
F. Muslera,Uruguay,Galatasaray SK,GK ,31,1370,81.0,75.0,75.0,83.0,85.0,82,82,13500000.0,57000.0
O. Karnezis,Greece,Watford,GK ,31,1212,80.0,83.0,70.0,80.0,84.0,82,82,13500000.0,30000.0
W. Szczęsny,Poland,Juventus,GK ,27,1250,83.0,77.0,74.0,78.0,87.0,82,84,18000000.0,90000.0
K. Trapp,Germany,Paris Saint-Germain,GK ,26,1194,80.0,78.0,79.0,84.0,84.0,82,84,18500000.0,71000.0
J. Hart,England,West Ham United,GK ,30,1318,83.0,78.0,75.0,81.0,83.0,82,82,14000000.0,110000.0
C. Bravo,Chile,Manchester City,GK ,34,1464,80.0,80.0,87.0,77.0,81.0,82,82,9000000.0,110000.0
R. Jarstein,Norway,Hertha BSC Berlin,GK ,32,1185,78.0,81.0,72.0,87.0,85.0,82,82,12500000.0,30000.0
B. Costil,France,Girondins de Bordeaux,GK ,29,1171,82.0,80.0,78.0,82.0,84.0,82,82,15000000.0,46000.0
A. Consigli,Italy,Sassuolo,GK ,30,1182,82.0,83.0,72.0,81.0,84.0,82,82,14000000.0,52000.0
A. Begović,Bosnia Herzegovina,Bournemouth,GK ,30,1233,81.0,81.0,73.0,79.0,82.0,82,82,14000000.0,64000.0
S. Mandanda,France,Olympique de Marseille,GK ,32,1217,86.0,78.0,77.0,77.0,85.0,82,82,12500000.0,31000.0
E. Viviano,Italy,Sampdoria,GK ,31,1162,81.0,84.0,79.0,78.0,83.0,82,82,13500000.0,37000.0
Sergio Rico,Spain,Sevilla FC,GK ,23,1225,79.0,80.0,78.0,82.0,83.0,82,87,21500000.0,16000.0
G. Donnarumma,Italy,Milan,GK ,18,1266,88.0,78.0,72.0,78.0,88.0,82,94,28500000.0,35000.0
O. Baumann,Germany,TSG 1899 Hoffenheim,GK ,27,1209,82.0,82.0,64.0,81.0,84.0,82,84,18000000.0,37000.0
L. Hrádecký,Finland,Eintracht Frankfurt,GK ,27,1122,79.0,77.0,73.0,79.0,85.0,81,83,14500000.0,28000.0
Adán,Spain,Real Betis Balompié,GK ,30,1273,80.0,83.0,72.0,81.0,82.0,81,81,11500000.0,24000.0
Moyá,Spain,Atlético Madrid,GK ,33,1184,85.0,78.0,82.0,81.0,79.0,81,81,9000000.0,46000.0
C. Carrasso,France,Galatasaray SK,GK ,35,1175,78.0,79.0,81.0,79.0,81.0,81,81,4200000.0,34000.0
T. Heaton,England,Burnley,GK ,31,1271,80.0,79.0,76.0,80.0,83.0,81,81,11000000.0,51000.0
S. Mignolet,Belgium,Liverpool,GK ,29,1266,80.0,76.0,65.0,78.0,84.0,81,81,12000000.0,91000.0
J. Butland,England,Stoke City,GK ,24,1225,81.0,83.0,72.0,78.0,85.0,81,87,18000000.0,50000.0
J. Cillessen,Netherlands,FC Barcelona,GK ,28,1287,79.0,83.0,74.0,81.0,77.0,81,83,15000000.0,125000.0
S. Romero,Argentina,Manchester United,GK ,30,1251,78.0,76.0,81.0,78.0,82.0,80,80,9500000.0,97000.0
Kiko Casilla,Spain,Real Madrid CF,GK ,30,1281,75.0,83.0,80.0,82.0,77.0,80,80,9500000.0,120000.0
Júlio César,Brazil,SL Benfica,GK ,37,1263,83.0,77.0,62.0,77.0,81.0,80,80,1000000.0,8000.0
C. Kameni,Cameroon,Fenerbahçe SK,GK ,33,1236,84.0,82.0,74.0,76.0,80.0,80,80,7500000.0,59000.0
F. Marchetti,Italy,Lazio,GK ,34,1259,80.0,78.0,66.0,78.0,84.0,80,80,6000000.0,44000.0
V. Enyeama,Nigeria,LOSC Lille,GK ,34,1373,76.0,76.0,72.0,77.0,84.0,80,80,6000000.0,40000.0
A. Mirante,Italy,Bologna,GK ,33,1194,82.0,80.0,64.0,78.0,82.0,80,80,7500000.0,48000.0
B. Foster,England,West Bromwich Albion,GK ,34,1241,79.0,79.0,73.0,77.0,84.0,80,80,6000000.0,60000.0
L. Fabiański,Poland,Swansea City,GK ,32,1206,77.0,84.0,70.0,78.0,84.0,80,80,8500000.0,60000.0
L. Karius,Germany,Liverpool,GK ,24,1203,84.0,74.0,74.0,76.0,85.0,80,84,14000000.0,71000.0
Arrizabalaga,Spain,Athletic Club de Bilbao,GK ,22,1207,78.0,81.0,75.0,76.0,83.0,80,87,15500000.0,20000.0
Alisson,Brazil,Roma,GK ,24,1194,75.0,76.0,70.0,78.0,86.0,80,84,14000000.0,45000.0
Neto,Brazil,Valencia CF,GK ,27,1275,84.0,80.0,74.0,74.0,83.0,80,80,10000000.0,30000.0
Roberto,Spain,Málaga CF,GK ,31,1292,80.0,72.0,74.0,78.0,82.0,79,79,7500000.0,28000.0
Fabricio,Spain,Beşiktaş JK,GK ,29,1358,78.0,80.0,79.0,77.0,79.0,79,80,10000000.0,48000.0
D. Ospina,Colombia,Arsenal,GK ,28,1159,83.0,71.0,78.0,77.0,84.0,79,79,9000000.0,91000.0
J. Zoet,Netherlands,PSV,GK ,26,1276,80.0,76.0,77.0,78.0,82.0,79,82,11000000.0,17000.0
M. Hitz,Switzerland,FC Augsburg,GK ,29,1195,82.0,75.0,73.0,79.0,82.0,79,79,8500000.0,27000.0
V. Babacan,Turkey,İstanbul Başakşehir FK,GK ,28,1228,80.0,77.0,68.0,81.0,80.0,79,80,10000000.0,28000.0
R. Zieler,Germany,VfB Stuttgart,GK ,28,1155,79.0,80.0,70.0,77.0,79.0,79,80,10000000.0,27000.0
G. Ochoa,Mexico,Standard de Liège,GK ,31,1206,76.0,69.0,78.0,78.0,87.0,79,79,7500000.0,18000.0
M. Vorm,Netherlands,Tottenham Hotspur,GK ,33,1302,78.0,76.0,72.0,75.0,83.0,79,79,6500000.0,74000.0
A. Pyatov,Ukraine,Shakhtar Donetsk,GK ,33,1198,75.0,74.0,82.0,81.0,82.0,79,79,6500000.0,1000.0
W. Caballero,Argentina,Chelsea,GK ,35,1241,80.0,76.0,73.0,78.0,81.0,79,79,3000000.0,59000.0
Gomes,Brazil,Watford,GK ,36,1253,79.0,75.0,60.0,77.0,84.0,79,79,1700000.0,33000.0
R. Adler,Germany,1. FSV Mainz 05,GK ,32,1167,78.0,77.0,70.0,80.0,80.0,79,79,7000000.0,28000.0
S. Sorrentino,Italy,Chievo Verona,GK ,38,1160,80.0,80.0,65.0,82.0,80.0,79,79,850000.0,12000.0
I. Akinfeev,Russia,CSKA Moscow,GK ,31,1205,77.0,72.0,78.0,82.0,83.0,79,79,7500000.0,42000.0
S. Sirigu,Italy,Torino,GK ,30,1191,79.0,76.0,73.0,77.0,80.0,79,79,8000000.0,41000.0
M. Campaña,Uruguay,Independiente,GK ,28,1205,82.0,75.0,72.0,78.0,82.0,79,82,11000000.0,23000.0
Y. Cardinale,France,OGC Nice,GK ,23,1285,78.0,75.0,75.0,80.0,82.0,79,85,12500000.0,26000.0
S. Kritsyuk,Russia,FC Krasnodar,GK ,26,1186,78.0,79.0,73.0,76.0,81.0,79,82,11000000.0,40000.0
Adrián,Spain,West Ham United,GK ,30,1246,81.0,76.0,69.0,75.0,82.0,79,79,8000000.0,80000.0
A. Areola,France,Paris Saint-Germain,GK ,24,1266,81.0,77.0,70.0,74.0,83.0,79,86,13000000.0,54000.0
Pau López,Spain,RCD Espanyol,GK ,22,1268,76.0,77.0,75.0,79.0,77.0,78,83,10000000.0,19000.0
T. Howard,United States,Colorado Rapids,GK ,38,1210,76.0,74.0,72.0,77.0,78.0,78,78,700000.0,5000.0
M. Barovero,Argentina,Necaxa,GK ,33,1172,78.0,75.0,69.0,79.0,79.0,78,78,5000000.0,13000.0
A. Marchesín,Argentina,Club América,GK ,29,1270,73.0,75.0,74.0,80.0,81.0,78,79,8000000.0,45000.0
Tiago Volpi,Brazil,Querétaro,GK ,26,1376,83.0,69.0,62.0,77.0,82.0,78,80,8500000.0,11000.0
K. Vermeer,Netherlands,Feyenoord,GK ,31,1359,81.0,70.0,70.0,78.0,82.0,78,78,6500000.0,14000.0
Guilherme,Russia,Lokomotiv Moscow,GK ,31,1185,82.0,73.0,70.0,77.0,78.0,78,78,6500000.0,33000.0
A. Onana,Cameroon,Ajax,GK ,21,1352,83.0,77.0,84.0,70.0,77.0,78,85,11000000.0,8000.0
S. Ryzhikov,Russia,Rubin Kazan,GK ,36,1163,76.0,77.0,68.0,76.0,82.0,78,78,1400000.0,23000.0
B. Reynet,France,Dijon FCO,GK ,26,1131,77.0,76.0,74.0,77.0,81.0,78,80,8500000.0,17000.0
K. Casteels,Belgium,VfL Wolfsburg,GK ,25,1223,80.0,69.0,74.0,75.0,82.0,78,81,9000000.0,42000.0
Tiago Volpi,Brazil,Querétaro,GK ,26,1376,83.0,69.0,62.0,77.0,82.0,78,80,8500000.0,11000.0
M. Sportiello,Italy,Fiorentina,GK ,25,1234,80.0,76.0,68.0,77.0,81.0,78,82,9500000.0,22000.0
A. Lunev,Russia,Zenit St. Petersburg,GK ,25,1171,78.0,73.0,65.0,77.0,85.0,78,80,9000000.0,43000.0
A. Onana,Cameroon,Ajax,GK ,21,1352,83.0,77.0,84.0,70.0,77.0,78,85,11000000.0,8000.0
Pau López,Spain,RCD Espanyol,GK ,22,1268,76.0,77.0,75.0,79.0,77.0,78,83,10000000.0,19000.0
