Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
T. Kroos,Germany,Real Madrid CF,CDM CM ,27,2165,60.0,60.0,71.0,69.0,89.0,85.0,85.0,85.0,79.0,76.0,84.0,54.0,85.0,32.0,93.0,90.0,63.0,73.0,79.0,86.0,90.0,87.0,69.0,52.0,77.0,82.0,74.0,88.0,82.0,90,90,340000.0,79000000.0
A. Sánchez,Chile,Arsenal,RM LW ST LM ,28,2181,88.0,80.0,90.0,87.0,87.0,86.0,80.0,78.0,90.0,85.0,78.0,70.0,42.0,85.0,73.0,82.0,30.0,77.0,86.0,87.0,81.0,84.0,35.0,84.0,85.0,39.0,72.0,83.0,83.0,89,89,265000.0,67500000.0
L. Modrić,Croatia,Real Madrid CF,CDM CM ,31,2228,75.0,62.0,93.0,94.0,92.0,84.0,78.0,79.0,86.0,71.0,77.0,55.0,76.0,67.0,83.0,82.0,66.0,80.0,79.0,88.0,92.0,73.0,73.0,71.0,82.0,80.0,58.0,90.0,74.0,89,89,340000.0,57000000.0
K. De Bruyne,Belgium,Manchester City,RM CM CAM ,26,2162,76.0,68.0,80.0,75.0,87.0,84.0,90.0,83.0,85.0,83.0,83.0,53.0,56.0,65.0,84.0,86.0,30.0,77.0,84.0,88.0,90.0,85.0,40.0,75.0,87.0,51.0,73.0,90.0,82.0,89,92,285000.0,83000000.0
A. Robben,Netherlands,FC Bayern Munich,RW RM ,33,2081,87.0,47.0,89.0,91.0,89.0,86.0,80.0,87.0,92.0,85.0,81.0,51.0,39.0,61.0,71.0,88.0,29.0,80.0,85.0,87.0,84.0,87.0,26.0,86.0,68.0,26.0,67.0,83.0,86.0,88,88,225000.0,36000000.0
M. Özil,Germany,Arsenal,RW CAM ,28,1927,75.0,48.0,83.0,70.0,90.0,78.0,82.0,84.0,86.0,74.0,79.0,54.0,24.0,52.0,84.0,76.0,22.0,67.0,83.0,87.0,89.0,70.0,19.0,68.0,69.0,16.0,57.0,92.0,77.0,88,88,265000.0,60000000.0
P. Dybala,Argentina,Juventus,ST CAM ,23,2063,88.0,48.0,91.0,85.0,93.0,84.0,80.0,88.0,92.0,85.0,84.0,68.0,24.0,75.0,71.0,88.0,14.0,86.0,84.0,84.0,83.0,82.0,20.0,84.0,83.0,20.0,65.0,84.0,88.0,88,93,215000.0,79000000.0
Thiago,Spain,FC Bayern Munich,CDM CAM CM ,26,2185,77.0,57.0,90.0,86.0,92.0,83.0,72.0,85.0,90.0,69.0,77.0,58.0,78.0,75.0,90.0,82.0,49.0,75.0,83.0,84.0,91.0,75.0,62.0,68.0,75.0,64.0,59.0,86.0,90.0,88,90,225000.0,70500000.0
Iniesta,Spain,FC Barcelona,LM CM ,33,2073,72.0,58.0,79.0,84.0,94.0,89.0,77.0,80.0,90.0,70.0,70.0,54.0,66.0,52.0,86.0,71.0,57.0,71.0,84.0,88.0,92.0,65.0,56.0,71.0,58.0,57.0,58.0,94.0,74.0,87,87,260000.0,29500000.0
David Silva,Spain,Manchester City,LM CM CAM ,31,1977,72.0,51.0,92.0,89.0,90.0,92.0,83.0,82.0,84.0,71.0,75.0,54.0,43.0,66.0,79.0,73.0,25.0,73.0,81.0,84.0,91.0,71.0,29.0,65.0,78.0,44.0,56.0,92.0,79.0,87,87,220000.0,44000000.0
